2026-01-15 02:04:53,067 DEBUG Loaded 22 labels from labels.json
2026-01-15 02:04:53,067 INFO Overlay initialized
2026-01-15 02:04:53,067 INFO TESSERACT_AVAILABLE=True EASYOCR_AVAILABLE=False
2026-01-15 02:04:53,133 DEBUG poll_mouse at (327, 273)
2026-01-15 02:04:53,189 DEBUG poll_mouse at (327, 273)
2026-01-15 02:04:53,254 DEBUG poll_mouse at (329, 274)
2026-01-15 02:04:53,313 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,373 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,434 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,494 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,558 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,618 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,619 DEBUG Submitting OCR task bbox=(200, 224, 460, 324)
2026-01-15 02:04:53,619 DEBUG Worker start bbox=(200, 224, 460, 324) do_translate=True
2026-01-15 02:04:53,679 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,679 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:53,738 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,738 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:53,797 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,798 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:53,862 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,862 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:53,922 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,922 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:53,982 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:53,982 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,042 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:54,042 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,102 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:54,103 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,166 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:54,166 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,226 DEBUG poll_mouse at (330, 274)
2026-01-15 02:04:54,227 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,285 DEBUG poll_mouse at (331, 275)
2026-01-15 02:04:54,285 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,349 DEBUG poll_mouse at (331, 275)
2026-01-15 02:04:54,350 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,410 DEBUG poll_mouse at (331, 275)
2026-01-15 02:04:54,411 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,470 DEBUG poll_mouse at (330, 275)
2026-01-15 02:04:54,471 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,530 DEBUG poll_mouse at (300, 277)
2026-01-15 02:04:54,530 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,589 DEBUG poll_mouse at (128, 257)
2026-01-15 02:04:54,589 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,654 DEBUG poll_mouse at (1, 225)
2026-01-15 02:04:54,654 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,713 DEBUG poll_mouse at (13, 218)
2026-01-15 02:04:54,713 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,774 DEBUG poll_mouse at (19, 214)
2026-01-15 02:04:54,775 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:54,813 DEBUG Worker result text='{Bit OC\n\nWE (ms): @' zh='{位OC\n\n我们（女士）：@'
2026-01-15 02:04:54,834 DEBUG poll_mouse at (23, 210)
2026-01-15 02:04:54,895 DEBUG poll_mouse at (28, 204)
2026-01-15 02:04:54,958 DEBUG poll_mouse at (29, 194)
2026-01-15 02:04:55,017 DEBUG poll_mouse at (24, 187)
2026-01-15 02:04:55,078 DEBUG poll_mouse at (22, 185)
2026-01-15 02:04:55,138 DEBUG poll_mouse at (22, 184)
2026-01-15 02:04:55,198 DEBUG poll_mouse at (22, 184)
2026-01-15 02:04:55,262 DEBUG poll_mouse at (22, 184)
2026-01-15 02:04:55,322 DEBUG poll_mouse at (23, 184)
2026-01-15 02:04:55,382 DEBUG poll_mouse at (24, 184)
2026-01-15 02:04:55,442 DEBUG poll_mouse at (26, 182)
2026-01-15 02:04:55,502 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,566 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,625 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,687 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,750 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,750 DEBUG Submitting OCR task bbox=(0, 132, 260, 232)
2026-01-15 02:04:55,751 DEBUG Worker start bbox=(0, 132, 260, 232) do_translate=True
2026-01-15 02:04:55,810 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,810 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:55,870 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,871 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:55,930 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,930 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:55,990 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:55,990 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,054 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,054 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,114 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,114 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,174 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,175 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,234 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,235 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,294 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,294 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,358 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,358 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,418 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,419 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,478 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,479 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,537 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,538 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,598 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,599 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,662 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,662 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,722 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,722 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,781 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,781 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,842 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,842 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,903 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,903 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:56,966 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:56,967 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,026 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,027 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,086 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,086 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,150 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,150 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,210 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,210 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,270 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,271 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,330 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,331 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,390 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,390 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,454 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,454 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,514 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,514 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,552 DEBUG Worker result text='Cross\nSection\n\nBida/Cu' zh='克罗斯\n部分\n\n比达/铜'
2026-01-15 02:04:57,574 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,575 DEBUG Submitting OCR task bbox=(0, 132, 260, 232)
2026-01-15 02:04:57,575 DEBUG Worker start bbox=(0, 132, 260, 232) do_translate=True
2026-01-15 02:04:57,634 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,634 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,694 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,694 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,757 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,758 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,818 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,818 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,878 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,878 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,938 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,938 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:57,998 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:57,998 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,061 DEBUG Worker result text='Cross\nSection\n\nBida/Cu' zh='克罗斯\n部分\n\n比达/铜'
2026-01-15 02:04:58,062 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,062 DEBUG Submitting OCR task bbox=(0, 132, 260, 232)
2026-01-15 02:04:58,063 DEBUG Worker start bbox=(0, 132, 260, 232) do_translate=True
2026-01-15 02:04:58,122 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,122 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,182 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,182 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,242 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,242 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,302 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,302 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,366 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,366 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,426 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,427 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,486 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,486 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,550 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,550 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,610 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,610 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,670 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,671 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,730 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,730 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,789 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,789 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,854 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,854 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,913 DEBUG poll_mouse at (27, 182)
2026-01-15 02:04:58,914 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:58,978 DEBUG poll_mouse at (48, 26)
2026-01-15 02:04:58,979 DEBUG Label hit idx=0 text=文件菜单：新建、打开、保存工程等文件操作
2026-01-15 02:04:59,037 DEBUG poll_mouse at (53, 24)
2026-01-15 02:04:59,038 DEBUG Label hit idx=0 text=文件菜单：新建、打开、保存工程等文件操作
2026-01-15 02:04:59,093 DEBUG poll_mouse at (57, 23)
2026-01-15 02:04:59,094 DEBUG Label hit idx=0 text=文件菜单：新建、打开、保存工程等文件操作
2026-01-15 02:04:59,158 DEBUG poll_mouse at (57, 23)
2026-01-15 02:04:59,158 DEBUG Label hit idx=0 text=文件菜单：新建、打开、保存工程等文件操作
2026-01-15 02:04:59,217 DEBUG poll_mouse at (54, 27)
2026-01-15 02:04:59,217 DEBUG Label hit idx=0 text=文件菜单：新建、打开、保存工程等文件操作
2026-01-15 02:04:59,278 DEBUG poll_mouse at (47, 35)
2026-01-15 02:04:59,278 DEBUG OCR pending, skipping new submit
